,primary,primary,primary_multiclass,primary_multiclass,primary_multiclass,primary_multiclass
,0,1,0,1,2,3
OR3785_3785L5,1.0,0.0,1.0,0.0,0.0,0.0
OR3785_3785L6,1.0,0.0,1.0,0.0,0.0,0.0
OR3785_3785L7,1.0,0.0,1.0,0.0,0.0,0.0
OR3785_3785LV,1.0,0.0,1.0,0.0,0.0,0.0
OR3785_3785R4,1.0,0.0,1.0,0.0,0.0,0.0
OR3785_3785R5,1.0,0.0,1.0,0.0,0.0,0.0
OR3785_3785R6,1.0,0.0,1.0,0.0,0.0,0.0
OR3785_3785RV,1.0,0.0,1.0,0.0,0.0,0.0
PK3718_3718L5,1.0,0.0,1.0,0.0,0.0,0.0
PK3718_3718L6,1.0,0.0,1.0,0.0,0.0,0.0
PK3718_3718LL7,1.0,0.0,1.0,0.0,0.0,0.0
PK3718_3718LV,1.0,0.0,1.0,0.0,0.0,0.0
PK3718_3718R4,1.0,0.0,1.0,0.0,0.0,0.0
PK3718_3718R5,1.0,0.0,1.0,0.0,0.0,0.0
PK3718_3718R6,1.0,0.0,1.0,0.0,0.0,0.0
PK3718_3718RV,1.0,0.0,1.0,0.0,0.0,0.0
TN4236_4236L5,0.0,1.0,0.0,1.0,0.0,0.0
TN4236_4236L6,0.0,1.0,0.0,1.0,0.0,0.0
TN4236_4236L7,0.0,1.0,0.0,1.0,0.0,0.0
TN4236_4236LV,0.0,1.0,0.0,1.0,0.0,0.0
TN4236_4236R4,0.0,1.0,0.0,1.0,0.0,0.0
TN4236_4236R5,0.0,1.0,0.0,1.0,0.0,0.0
TN4236_4236R6,0.0,1.0,0.0,1.0,0.0,0.0
TN4236_4236RV,0.0,1.0,0.0,1.0,0.0,0.0
TQ3816_3816L5,1.0,0.0,1.0,0.0,0.0,0.0
TQ3816_3816L6,1.0,0.0,1.0,0.0,0.0,0.0
TQ3816_3816L7,1.0,0.0,1.0,0.0,0.0,0.0
TQ3816_3816LV,1.0,0.0,1.0,0.0,0.0,0.0
TQ3816_3816R4,1.0,0.0,1.0,0.0,0.0,0.0
TQ3816_3816R5,1.0,0.0,1.0,0.0,0.0,0.0
TQ3816_3816R6,1.0,0.0,1.0,0.0,0.0,0.0
TQ3816_3816RV,1.0,0.0,1.0,0.0,0.0,0.0
WT4054_4054L5,0.0,1.0,0.0,1.0,0.0,0.0
WT4054_4054L6,0.0,1.0,0.0,1.0,0.0,0.0
WT4054_4054L7,0.0,1.0,0.0,1.0,0.0,0.0
WT4054_4054LV,0.0,1.0,0.0,1.0,0.0,0.0
WT4054_4054R4,0.0,1.0,0.0,1.0,0.0,0.0
WT4054_4054R5,0.0,1.0,0.0,1.0,0.0,0.0
WT4054_4054R6,0.0,1.0,0.0,1.0,0.0,0.0
WT4054_4054RV,0.0,1.0,0.0,1.0,0.0,0.0
OR4205_4205L5,0.0,1.0,0.0,1.0,0.0,0.0
OR4205_4205L6,0.0,1.0,0.0,1.0,0.0,0.0
OR4205_4205L7,0.0,1.0,0.0,1.0,0.0,0.0
OR4205_4205LV,0.0,1.0,0.0,1.0,0.0,0.0
OR4205_4205R4,0.0,1.0,0.0,1.0,0.0,0.0
OR4205_4205R5,0.0,1.0,0.0,1.0,0.0,0.0
OR4205_4205R6,0.0,1.0,0.0,1.0,0.0,0.0
OR4205_4205RVV,0.0,1.0,0.0,1.0,0.0,0.0
TN4166_4166L5,0.0,1.0,0.0,1.0,0.0,0.0
TN4166_4166L6,0.0,1.0,0.0,1.0,0.0,0.0
TN4166_4166L7,0.0,1.0,0.0,1.0,0.0,0.0
TN4166_4166LV,0.0,1.0,0.0,1.0,0.0,0.0
TN4166_4166R4,0.0,1.0,0.0,1.0,0.0,0.0
TN4166_4166R5,0.0,1.0,0.0,1.0,0.0,0.0
TN4166_4166R6,0.0,1.0,0.0,1.0,0.0,0.0
TN4166_4166RV,0.0,1.0,0.0,1.0,0.0,0.0
TQ3919_3919L5,0.0,1.0,0.0,1.0,0.0,0.0
TQ3919_3919L6,0.0,1.0,0.0,1.0,0.0,0.0
TQ3919_3919L7,0.0,1.0,0.0,1.0,0.0,0.0
TQ3919_3919LV,0.0,1.0,0.0,1.0,0.0,0.0
TQ3919_3919R4,0.0,1.0,0.0,1.0,0.0,0.0
TQ3919_3919R5,0.0,1.0,0.0,1.0,0.0,0.0
TQ3919_3919R6,0.0,1.0,0.0,1.0,0.0,0.0
TQ3919_3919RV,0.0,1.0,0.0,1.0,0.0,0.0
TQ4141_4141L5,1.0,0.0,1.0,0.0,0.0,0.0
TQ4141_4141L6,1.0,0.0,1.0,0.0,0.0,0.0
TQ4141_4141L7,1.0,0.0,1.0,0.0,0.0,0.0
TQ4141_4141LV,1.0,0.0,1.0,0.0,0.0,0.0
TQ4141_4141R5,1.0,0.0,1.0,0.0,0.0,0.0
TQ4141_4141R6,1.0,0.0,1.0,0.0,0.0,0.0
TQ4141_4141RV,1.0,0.0,1.0,0.0,0.0,0.0
